id,food,image,instructions,food_type,Calories,FatContent,ProteinContent,glutenFree,dairyFree,sourceUrl,ingredients,food_cluster
1,Fried Anchovies with Sage,https://img.spoonacular.com/recipes/1-556x370.jpg," If you have not tried anchovies before - you must try them now! Get over any weird apprehensions or that its just bait or a punchline for a joke about pizza (""extra anchovies"")! These little suckers are delicious &amp; actually good for you! Baked, fried &amp; grilled - they are ohh so good and worth a try. If your not up to it, then pass me your plate because I love'em!Here is my favorite - Fried Anchovies - the recipe below adds a sage leave to each piece of fish as well for an extra burst of flavor &amp; color.Fried Anchovies with SageAcciughe fritte con Salvia1lb of anchovies cleaned, spine removedsage leaves (optional - if you are not a fan of sage just omit)batter1 cup of flour1 egg1 teaspoon of salt1 teaspoon of baking powderseltzer watervegetable oil for fryingIn a bowl combine flour, eggs, salt &amp; baking powder. Slowly add in seltzer water &amp; mix until forms a thin batter. Cover with plastic &amp; set in the fridge for at least an hour.Heat oil in a pot to 350 degree.Remove batter from fridge and mix once or twice (batter will have separated).Take a sage leaf &amp; anchovy put them together &amp; dip into the batter - allowing access batter to drip off.Fry 20 seconds a side until golden brown.Remove from oil &amp; drain on a paper towel.Sprinkle with salt &amp; serve immediately.Pairs great with prosecco or white wine. ",Non-Veg,170.9,2.5,3.2,False,True,http://latavolamarcherecipebox.blogspot.com/2009/10/fried-anchovies-with-sage.html,"['anchovies', 'anchovies', 'baking', 'powder', 'egg', 'flour', 'sage', 'salt', 'seltzer', 'water', 'vegetable', 'oil']",0
2,Anchovies Appetizer With Breadcrumbs & Scallions,https://img.spoonacular.com/recipes/2-556x370.jpg,"  Preheat oven to 400 F.  Remove crusts from bread and cut into bite-sized croutons.  Rub garlic in bottom of a small oven-safe skillet, add 2 teaspoons olive oil.   Rub croutons in oil until they absorb it all.   Bake for 7-10 minutes or until deep golden brown.   Remove and set aside.  Slice anchovies in thirds.   Toss with scallions.   Divide into small cups, ramekins or bowls between 4 and 8 ounces and nestle in the croutons.  ",Non-Veg,1110.7,58.8,63.4,False,True,http://www.thekitchn.com/other-two-veg-recipes-notes-85779,"['marinated', 'anchovies', 'marinated', 'anchovies', 'day', 'old', 'bread', 'garlic', 'clove', 'olive', 'oil', 'plus', 'scallions']",0
3,"Bread, Butter And Anchovies",https://img.spoonacular.com/recipes/5-556x370.jpg,"Slice bread into 1cm thick slices: you can toast them or use them as they are. I prefer a soft bread to exalt butter softness. Spread butter with generosity over the bread.If you want to use salted anchovies, rinse them under running water to remove extra salt and divide them into fillets, removing all the bones. If you use anchovies in oil, just make two fillets out of them and lay them over buttered bread.And now, the final touch: a pickled baby caper in the centre, and - in less than 3 minutes - you have an unusual afternoon break or a fun anti-crisis and anti-panic appetizer for Christmas.",Non-Veg,311.1,0.2,0.3,False,False,http://en.julskitchen.com/tuscany/grandma-mennas-kitchen-bread-butter-and-anchovies,"['tuscan', 'bread', 'pickles', 'baby', 'capers', 'anchovies', 'butter']",2
4,Fried Anchovies,https://img.spoonacular.com/recipes/6-556x370.jpg,"If you are using whole, fresh anchovies you must clean them first. Pull off the heads and pull out the insides. Then rinse with clean water.Pour the olive oil into a small deep saucepan set over heat. Use a deep fry thermometer to monitor the heat.Meanwhile, add the eggs to a small bowl and beat until well mixed. Add the flour, cayenne, salt and black pepper to a shallow bowl, use a fork to mix the ingredients together. Dip the fish one at a time into the beaten eggs and then roll it in flour.When the oil reaches 365 degrees F. fry the fish a few at a time, rolling them around in the oil to assure even cooking until they are golden brown (about 5-8 minutes). Serve with crusty bread, extra-virgin olive oil for dipping the bread (optional) and tomatoes.",Non-Veg,536.1,24.0,29.3,False,True,http://www.sippitysup.com/fried-anchovies,"['marinated', 'anchovies', 'marinated', 'anchovies', 'cayenne', 'pepper', 'cherry', 'tomatoes', 'crusty', 'bread', 'eggs', 'extra', 'virgin', 'olive', 'oil', 'flour', 'olive', 'oil', 'salt', 'and', 'pepper']",3
5,Marinated Fresh Anchovies: Alici Marinate,https://img.spoonacular.com/recipes/9-556x370.jpeg,"Using scissors, trim the fins off of all the anchovies. Using a sharp paring knife, gut the fish, and rinse well. Cut off the heads and carefully remove the spine and pin bones by pulling from the top with the index finger and thumbnail. Separate the 2 fillets and rinse again. Lay 1 layer of the fillets in a deep oval quiche plate and sprinkle over with vinegar. Continue until all the fish fillets are in the plate and pour over the rest of the vinegar. Let sit to marinate for at least 4 hours in the refrigerator.                          Drain each anchovy from the vinegar, rinse, and pat dry with a kitchen towel. Wash out the oval quiche plate and dry well. Lay the cured anchovies into the quiche plate, one layer at a time, with 2 or 3 tablespoons olive oil, a pinch of oregano, a sprinkle of chile flakes, a sprinkle of parsley, a couple of garlic slices, and a sprinkle of salt. Layer until all of the anchovies are finished and allow to marinate at least 2 hours, refrigerated.                          To serve, bring anchovies to cellar temp, just about 58 degrees F, and place 8 or 9 on each plate drained of oil. The cured anchovies will last like this for 1 week in the refrigerator.",Non-Veg,103.6,0.4,4.3,True,True,http://www.foodnetwork.com/recipes/mario-batali/marinated-fresh-anchovies-alici-marinate-recipe/index.html,"['anchovies', 'anchovies', 'garlic', 'olive', 'oil', 'oregano', 'parsley', 'chile', 'flakes', 'sea', 'salt', 'white', 'wine', 'vinegar']",3
6,Roasted Peppers with Boquerones,https://img.spoonacular.com/recipes/12-556x370.jpg,"Preparation                                                        Preheat broiler.                                                                Broil bell peppers on a broiler pan about 5 inches from heat, turning occasionally with tongs, until skins are blackened, 15 to 20 minutes. Transfer to a large bowl and cover bowl tightly with plastic wrap, then let steam 20 minutes.                                                                When peppers are cool enough to handle, peel them, reserving all juices in bowl, and discard stems and seeds. Cut peppers lengthwise into 1/4-inch-wide strips. Pour pepper juices through a sieve into another bowl, then add vinegar and sugar to juices, stirring until sugar is dissolved, then stir in peppers. Marinate peppers at room temperature, stirring occasionally, at least 2 hours.                                                                Spoon peppers and juices into a shallow bowl and arrange anchovy strips decoratively on top.                                                Cooks' note:            Peppers can marinate (without anchovies), covered and chilled, up to 3 days. Bring to room temperature before serving.",Non-Veg,437.9,19.3,7.0,True,True,http://www.epicurious.com/recipes/food/views/Roasted-Peppers-with-Boquerones-231380,"['boquerones', 'boquerones', 'bell', 'peppers', 'sherry', 'vinegar', 'sugar']",0
7,Sliced Baguette With Radishes And Anchovy Butter,https://img.spoonacular.com/recipes/16-556x370.jpg,"Mix butter, 2 chopped anchovy fillets, and 2 tablespoons chives in small bowl, adding 1 more chopped anchovy fillet to taste, if desired. Season with salt and freshly ground black pepper. Spread anchovy butter over 1 side of each baguette slice. Top each baguette slice with radish slices, overlapping slightly to cover bread. Garnish with additional chopped chives and serve.",Non-Veg,895.5,66.8,45.3,False,False,http://www.bonappetit.com/recipes/2011/04/sliced_baguette_with_radishes_and_anchovy_butter,"['to', '3', 'anchovy', 'to', '3', 'anchovy', 'thick', 'diagonal', 'baguette', 'additional', 'chives', 'coarse', 'kosher', 'salt', 'chives', 'radishes', 'butter']",0
8,Savory Slow Roasted Tomatoes with Filet of Anchovy,https://img.spoonacular.com/recipes/17-556x370.jpg,"It's tomato season, so keep it simple while cooking. No need to make heavy sauces with all those gorgeous tomatoes that are bursting with flavor - try a simple 5 ingredient recipe with slow roasted tomatoes, herbs, loads of olive oil and topped with a filet of anchovy! This recipe is straight from the seaside of Le Marche, where we first devoured this delicious antipasto in Numana.On a hot summer's day, we keep the kitchen oven off & make these in our outdoor wood burning oven!Roasted Tomatoes with AnchoviesPomodori al forno con le acciugheserves 44 round tomatoes (we grow & use grappolo for this dish)small handful of any fresh herbs you like, chopped - we use oregano but you can also use basil, thyme, etc.salt & peppergood quality extra virgin olive oil8 high quality anchovy filets, (we use anchovies from Sardegna packed in salt)Preheat oven to 150 C or 280 FCut the top 3rd off the tomatoes & discard top.Place tomatoes on a baking tray, lined with parchment paper. Sprinkle generously with salt, pepper & herbs. Drizzle with a generous amount of olive oil. Place in the oven for 4-6 hours depending on the size of your tomatoes. Every once in a while as you pass the kitchen, baste the tomatoes in the juices & olive oil in the pan.Once the tomatoes shrivel up a bit & start to look sun-dried, they are ready. They should still hold their shape & not become mush.Remove from oven, top each tomato with a whole anchovy filet. Serve warm or room temperature with olive oil from the baking pan drizzled over the top.",Non-Veg,228.0,7.1,4.2,False,True,http://latavolamarche.blogspot.it/2012/07/savory-slow-roasted-tomatoes-with-filet.html,"['anchovy', 'filets', 'anchovy', 'filets', 'extra', 'virgin', 'olive', 'oil', 'roasted', 'tomatoes', 'any', 'herbs', 'you', 'like', 'any', 'herbs', 'you', 'like', 'salt', 'pepper', 'on', 'a', 'summer', 's', 'day', 'once', 'the', 'tomatoes', 'shrivel', 'up', 'a', 'bit', 'start', 'to', 'look', 'sun', 'dried', 'round', 'tomatoes']",0
9,No-knead Fennel & Anchovy Pizza,https://img.spoonacular.com/recipes/19-556x370.jpg,"Preheat oven to 500 F. If you have a pizza stone, stick it in the oven.In a small skillet, heat 1 tablespoon olive oil over medium heat. Add fennel slices and cook, stirring occasionally, until slightly browned. Remove from heat.With floured hands over a floured surface, stretch or toss (if you know how) the dough until it is 10-12"", taking care not to stretch it too thin. Uneven is okay, this dough makes a rustic crust. No need to aim for a perfect circle either. Press small thumbprints around the crust and brush with remaining tablespoon olive oil.Sprinkle a baking sheet with cornmeal and transfer the crust over. Re-shape if it's gone askew. Top with the mozzarella slices, fennel, and anchovy. Slide onto the pizza stone, or place baking sheet in oven.Cook until crust looks golden brown and cheese is bubbling, 6-10 minutes. When ready, carefully pull from the oven, top with lemon zest, a few cracks of pepper and the fennel fronds. Slice and serve. For the No-Knead Pizza Dough recipe and the story behind it, see the TastingTable.com article, Jim Lahey Reveals His Recipe for No-Knead Pizza Dough No time to wait for No-Knead? Roll your sleeves up and try our recipe for Homemade Thin Crust PizzaPin itLast Week's Posted Email: On Making Your Own PastaShow Nutritionbalancedsugar-consciousPer serving, based on2servings.(% daily value)Calories541Fat26.2 g(40.3%)Saturated8.3 g(41.7%)Carbs58 g(19.3%)Fiber3.2 g(12.7%)Sugars1.3 gProtein17.7 g(35.4%)Cholesterol31.5 mg(10.5%)Sodium813.2 mg(33.9%)",Non-Veg,4.3,0.0,0.1,False,False,http://www.thekitchn.com/noknead-pizza-for-the-whole-fa-75299,"['anchovy', 'anchovy', 'spoonfuls', 'coarse', 'cornmeal', 'one', 'inch', 'pinched', 'fennel', 'fronds', 'fennel', 'bulb', 'spoonfuls', 'flour', 'lemon', 'zest', 'mozzarella', 'cheese', 'olive', 'oil', 'cracks', 'pepper', 'pizza', 'dough']",3
10,Anchovy And Onion Tart,https://img.spoonacular.com/recipes/22-556x370.jpg,Instructions,Non-Veg,69.0,5.6,0.8,False,True,http://www.saveur.com/article/Recipes/Anchovy-and-Onion-Tart,"['active', 'yeast', 'anchovy', 'filets', 'anchovy', 'filets', 'bouquet', 'garni', 'of', 'each', 'thyme', 'and', 'marjoram', 'flour', 'olive', 'oil', 'niã', 'oise', 'olives', 'onions', 'rosemary', 'salt', 'salt', 'and', 'pepper']",2
